N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
83,두산밥캣,"46,300","3,250",-6.56%,500,"46,415","100,249",40.48,"524,557",4.70,13.78,
84,삼성엔지니어링,"23,550",150,+0.64%,"5,000","46,158","196,000",49.54,"748,390",5.23,28.32,
85,KODEX KOFR금리액티브(합성),"105,805",55,+0.05%,0,"45,969","43,447",0.00,"140,103",N/A,N/A,
86,코웨이,"62,000",800,+1.31%,500,"45,756","73,800",61.44,"208,537",10.26,21.72,
87,엔씨소프트,"204,500","8,500",-3.99%,500,"44,896","21,954",39.50,"156,915",29.24,13.73,
88,LG유플러스,"10,250",110,-1.06%,"5,000","44,753","436,611",39.17,"1,382,226",6.52,8.37,
89,CJ제일제당,"296,000","4,000",-1.33%,"5,000","44,560","15,054",23.39,"35,664",14.91,9.26,
90,한미약품,"334,500","2,500",-0.74%,"2,500","42,853","12,811",16.45,"34,351",32.63,9.89,
91,현대오토에버,"154,300","4,600",+3.07%,500,"42,315","27,424",2.85,"128,422",28.49,8.00,
92,LG디스플레이,"11,740",240,+2.09%,"5,000","42,008","357,816",20.50,"1,968,438",-0.97,-26.71,
93,삼성카드,"35,400",400,+1.14%,"5,000","41,014","115,859",6.31,"261,811",6.88,8.08,
94,금호석유,"140,200","2,300",-1.61%,"5,000","40,024","28,548",19.93,"184,282",8.92,19.11,
95,HD현대일렉트릭,"107,400","3,900",+3.77%,"5,000","38,715","36,047",22.79,"238,631",23.25,22.13,
96,현대건설,"33,950",100,+0.30%,"5,000","37,805","111,356",24.08,"405,926",11.63,5.49,
97,NH투자증권,"11,300",80,+0.71%,"5,000","37,478","331,666",16.91,"819,728",7.38,4.32,
98,강원랜드,"17,440",640,+3.81%,500,"37,311","213,940",14.27,"2,410,741",13.50,3.47,
99,오리온,"93,000",300,-0.32%,500,"36,769","39,536",36.60,"214,444",8.60,16.47,
100,한국금융지주,"65,100",0,0.00%,"5,000","36,278","55,726",40.42,"146,228",5.02,8.45,
101,삼성증권,"39,600",50,+0.13%,"5,000","35,363","89,300",35.07,"244,542",6.25,6.88,
102,현대차우,"145,700",100,+0.07%,"5,000","35,133","24,113",62.43,"259,204",3.50,N/A,
103,롯데지주,"33,100",250,-0.75%,200,"34,725","104,909",7.34,"511,859",-142.67,2.42,
104,쌍용C&E,"6,940",10,+0.14%,100,"34,610","498,697",3.24,"3,340,133",15.02,7.87,
105,한온시스템,"6,400",10,+0.16%,100,"34,163","533,800",16.02,"696,821",45.07,0.89,
106,현대해상,"35,650",400,+1.13%,500,"31,871","89,400",37.26,"322,429",4.34,12.44,
107,CJ대한통운,"139,100","6,200",-4.27%,"5,000","31,732","22,812",12.41,"145,033",16.94,5.09,
108,현대로템,"29,050",600,+2.11%,"5,000","31,706","109,142",11.52,"1,676,688",13.32,14.06,
109,한화생명,"3,645",15,-0.41%,"5,000","31,658","868,530",9.37,"5,781,532",4.01,9.05,
110,SKC,"83,200","2,000",+2.46%,"5,000","31,506","37,868",12.58,"201,598",-8.76,-3.67,
111,LS,"97,800","2,200",-2.20%,"5,000","31,492","32,200",14.65,"245,132",9.48,12.00,
112,CJ,"107,800",800,-0.74%,"5,000","31,453","29,177",12.15,"141,005",43.22,3.94,
113,한화시스템,"15,460",40,+0.26%,"5,000","29,207","188,919",4.43,"1,044,822",11.26,-3.63,
114,한미사이언스,"41,550",100,-0.24%,500,"29,067","69,957",1.85,"300,139",28.09,9.78,
115,키움증권,"108,900","1,100",-1.00%,"5,000","28,561","26,227",25.13,"50,784",4.15,11.50,
116,KODEX 종합채권(AA-이상)액티브,"109,150",65,-0.06%,0,"28,216","25,851",0.00,"10,167",N/A,N/A,
117,TIGER 미국나스닥100,"105,210","1,265",+1.22%,0,"28,017","26,630",0.01,"234,520",N/A,N/A,
118,현대미포조선,"67,400",500,-0.74%,"5,000","26,921","39,942",24.55,"223,701",-14.71,-2.07,
119,F&F,"70,000","4,600",-6.17%,100,"26,815","38,307",14.23,"303,640",5.48,60.40,
120,KODEX 24-12 은행채(AA+이상)액티브,"10,195",5,+0.05%,0,"26,691","261,800",0.00,"83,786",N/A,N/A,
121,한국가스공사,"27,650",350,-1.25%,"5,000","25,525","92,313",6.02,"369,589",3.22,15.67,
122,롯데쇼핑,"90,100","1,000",-1.10%,"5,000","25,488","28,289",9.43,"94,030",-36.66,-3.30,
123,한전기술,"66,000",100,-0.15%,200,"25,225","38,220",8.33,"59,319",64.20,3.40,
124,BNK금융지주,"7,820",110,+1.43%,"5,000","25,187","322,088",35.39,"2,097,963",3.62,8.43,
125,LIG넥스원,"113,600",200,+0.18%,"5,000","24,992","22,000",11.42,"484,553",28.82,14.48,
126,TIGER 미국S&P500,"16,555",150,+0.91%,0,"24,948","150,700",0.00,"1,351,712",N/A,N/A,
127,씨에스윈드,"58,300","1,700",+3.00%,500,"24,586","42,171",13.26,"235,332",61.82,-0.11,
128,아모레G,"29,600",150,+0.51%,500,"24,408","82,458",10.13,"200,471",29.81,1.87,
129,휠라홀딩스,"40,100","1,250",-3.02%,"1,000","24,362","60,752",45.35,"149,966",11.32,19.71,
